"Date","Price","Open","High","Low","Vol.","Change %"
"12/03/1992","2,619.90","2,574.86","2,627.93","2,559.32","","1.01%"
"12/02/1992","2,593.62","2,590.56","2,614.04","2,586.24","","1.80%"
"12/01/1992","2,547.69","2,522.07","2,551.81","2,522.07","","1.18%"
"11/30/1992","2,518.10","2,511.41","2,542.55","2,511.41","","1.27%"
"11/27/1992","2,486.41","2,462.91","2,486.83","2,460.80","","-0.03%"
"11/26/1992","2,487.11","2,526.09","2,526.09","2,487.09","","-2.72%"
"11/25/1992","2,556.56","2,593.97","2,609.35","2,555.46","","0.38%"
"11/24/1992","2,546.86","2,523.27","2,560.71","2,522.48","","0.65%"
"11/23/1992","2,530.47","2,468.92","2,545.33","2,468.92","","2.05%"
"11/20/1992","2,479.56","2,422.97","2,479.56","2,418.52","","2.32%"
"11/19/1992","2,423.26","2,506.52","2,506.52","2,413.62","","-4.02%"
"11/18/1992","2,524.71","2,551.98","2,551.98","2,501.77","","-2.40%"
"11/13/1992","2,586.68","2,606.44","2,606.44","2,574.74","","-2.09%"
"11/12/1992","2,641.81","2,645.74","2,679.25","2,635.71","","1.74%"
"11/11/1992","2,596.53","2,663.31","2,663.31","2,555.53","","-3.31%"
"11/09/1992","2,685.39","2,758.46","2,758.46","2,682.84","","-2.57%"
"11/06/1992","2,756.19","2,760.12","2,760.12","2,732.77","","-1.38%"
"11/05/1992","2,794.83","2,870.59","2,889.69","2,794.83","","-4.49%"
"11/04/1992","2,926.18","2,953.02","2,982.90","2,917.56","","-0.09%"
"11/03/1992","2,928.89","2,867.57","2,928.89","2,867.57","","3.37%"
"10/30/1992","2,833.34","2,892.39","2,896.92","2,825.58","","-1.01%"
"10/29/1992","2,862.15","2,873.65","2,890.63","2,862.15","","-0.51%"
"10/28/1992","2,876.70","2,963.28","2,963.28","2,876.70","","-3.70%"
"10/25/1992","2,987.21","3,033.08","3,033.08","2,987.21","","0.00%"
"10/22/1992","2,987.29","2,982.99","3,002.16","2,968.45","","1.79%"
"10/21/1992","2,934.66","2,973.71","2,987.57","2,932.18","","-3.81%"
"10/20/1992","3,050.90","3,074.66","3,078.41","3,045.78","","-1.15%"
"10/15/1992","3,086.45","3,081.37","3,100.89","3,053.04","","-0.62%"
"10/14/1992","3,105.63","3,166.50","3,168.90","3,105.63","","-2.58%"
"10/13/1992","3,187.76","3,127.44","3,190.28","3,127.44","","0.67%"
"10/12/1992","3,166.52","3,223.15","3,223.15","3,158.29","","-3.33%"
